source_file,label,method,dataset,seed,comm_kb,nasa_score,test_mae
log_fd001,FedAvg 42,fedavg,FD001,42,28900.78,446.39,12.7479
log_fd001,FedAvg 101,fedavg,FD001,101,28900.78,355.19,11.8047
log_fd001,FedAvg 202,fedavg,FD001,202,28900.78,347.16,11.2888
log_fd001,FedAvg 303,fedavg,FD001,303,28900.78,403.36,12.4642
log_fd001,FedAvg 2026,fedavg,FD001,2026,28900.78,326.69,11.0434
log_fd001,FedPer 42,fedper,FD001,42,27650,622.12,14.5344
log_fd001,FedPer 101,fedper,FD001,101,27650,332.41,12.3718
log_fd001,FedPer 202,fedper,FD001,202,27650,381.95,12.3208
log_fd001,FedPer 303,fedper,FD001,303,27650,465.7,12.9424
log_fd001,FedPer 2026,fedper,FD001,2026,27650,369.23,11.552
log_fd001,CFL,cfl,FD001,42,27650,1712.66,16.1493
log_fd001,CFL,cfl,FD001,101,27650,853.77,13.3882
log_fd001,CFL,cfl,FD001,202,27650,640.15,13.6033
log_fd001,CFL,cfl,FD001,303,27650,1866.48,16.6515
log_fd001,CFL,cfl,FD001,2026,27650,825.41,13.9147
log_fd001,AC-PFL 2026,acpfl,FD001,2026,27650,389.71,13.1794
log_fd001,AC-PFL 101,acpfl,FD001,101,27650,413.16,11.7925
log_fd001,AC-PFL 202,acpfl,FD001,202,27650,360.16,12.0093
log_fd001,AC-PFL 303,acpfl,FD001,303,27650,869.14,13.8379
log_fd001,AC-PFL 42,acpfl,FD001,42,27650,503.99,13.5832
log_fd001,Ditto,ditto,FD001,42,28900.78,1050.94,16.2675
log_fd001,Ditto,ditto,FD001,101,28900.78,526.7,14.0041
log_fd001,Ditto,ditto,FD001,202,28900.78,444.12,13.1749
log_fd001,Ditto,ditto,FD001,303,28900.78,471.08,14.5076
log_fd001,Ditto,ditto,FD001,2026,28900.78,447.31,14.2638
log_fd001,FedProx,fedprox,FD001,42,28900.78,441.94,12.3203
log_fd001,FedProx,fedprox,FD001,101,28900.78,273.17,10.4706
log_fd001,FedProx,fedprox,FD001,202,28900.78,440.18,11.8218
log_fd001,FedProx,fedprox,FD001,303,28900.78,389.29,11.7328
log_fd001,FedProx,fedprox,FD001,2026,28900.78,314.05,11.1006
log_fd002,FedAvg 42,fedavg,FD002,42,28900.78,8802.94,20.8419
log_fd002,FedAvg 101,fedavg,FD002,101,28900.78,15054.15,21.4142
log_fd002,FedAvg 202,fedavg,FD002,202,28900.78,18843.99,19.5316
log_fd002,FedAvg 303,fedavg,FD002,303,28900.78,13806.77,17.9193
log_fd002,FedAvg 404,fedavg,FD002,404,28900.78,9127.79,19.3771
log_fd002,FedAvg 505,fedavg,FD002,505,28900.78,15913.33,20.1947
log_fd002,FedAvg 606,fedavg,FD002,606,28900.78,8218.57,17.5531
log_fd002,FedAvg 707,fedavg,FD002,707,28900.78,10281.8,19.1696
log_fd002,FedAvg 808,fedavg,FD002,808,28900.78,8313.93,17.6401
log_fd002,FedAvg 2026,fedavg,FD002,2026,28900.78,11054.5,18.1986
log_fd002,FedPer,fedper,FD002,42,27650,4688.83,17.7594
log_fd002,FedPer,fedper,FD002,101,27650,15701.43,19.3652
log_fd002,FedPer,fedper,FD002,202,27650,5972.7,19.3565
log_fd002,FedPer,fedper,FD002,303,27650,12899.13,19.2621
log_fd002,FedPer,fedper,FD002,2026,27650,16486.82,18.5416
log_fd002,CFL,cfl,FD002,42,27650,66420.45,23.3652
log_fd002,CFL,cfl,FD002,101,27650,19904.15,22.9139
log_fd002,CFL,cfl,FD002,202,27650,34427.37,23.9111
log_fd002,CFL,cfl,FD002,303,27650,54505.9,23.3666
log_fd002,CFL,cfl,FD002,2026,27650,12933.11,20.673
log_fd002,AC-PFL 42,acpfl,FD002,42,27650,8192.76,19.9552
log_fd002,AC-PFL 101,acpfl,FD002,101,27650,14414.76,22.1178
log_fd002,AC-PFL 202,acpfl,FD002,202,27650,9262.48,19.4171
log_fd002,AC-PFL 303,acpfl,FD002,303,27650,4308.54,19.4242
log_fd002,AC-PFL 404,acpfl,FD002,404,27650,8565.17,19.2557
log_fd002,AC-PFL 505,acpfl,FD002,505,27650,4733.4,18.8358
log_fd002,AC-PFL 606,acpfl,FD002,606,27650,13328.28,20.2211
log_fd002,AC-PFL 707,acpfl,FD002,707,27650,7391.86,19.0418
log_fd002,AC-PFL 808,acpfl,FD002,808,27650,5169.01,19.5359
log_fd002,AC-PFL,acpfl,FD002,2026,27650,11113.33,18.7728
log_fd002,FedProx,fedprox,FD002,42,28900.78,90812.22,20.2012
log_fd002,FedProx,fedprox,FD002,101,28900.78,19419.41,21.4865
log_fd002,FedProx,fedprox,FD002,202,28900.78,11540.11,20.1206
log_fd002,FedProx,fedprox,FD002,303,28900.78,11939.77,19.3741
log_fd002,FedProx,fedprox,FD002,404,28900.78,28899.52,19.4133
log_fd002,FedProx,fedprox,FD002,505,28900.78,5773.54,17.6167
log_fd002,FedProx,fedprox,FD002,606,28900.78,17028.58,20.0007
log_fd002,FedProx,fedprox,FD002,707,28900.78,10034.11,18.6909
log_fd002,FedProx,fedprox,FD002,808,28900.78,18420.58,18.4646
log_fd002,FedProx,fedprox,FD002,2026,28900.78,9128.96,18.7177
log_fd002,Ditto,ditto,FD002,42,28900.78,20539.83,22.0595
log_fd002,Ditto,ditto,FD002,101,28900.78,14366.52,20.2167
log_fd002,Ditto,ditto,FD002,202,28900.78,13760.06,21.8385
log_fd002,Ditto,ditto,FD002,303,28900.78,7856.96,20.8429
log_fd002,Ditto,ditto,FD002,2026,28900.78,10533.05,20.9461
log_fd003,FedAvg 42,fedavg,FD003,42,28900.78,446.46,12.8575
log_fd003,FedAvg 101,fedavg,FD003,101,28900.78,553.5,12.1182
log_fd003,FedAvg 202,fedavg,FD003,202,28900.78,991.16,12.7017
log_fd003,FedAvg 303,fedavg,FD003,303,28900.78,716.37,12.9878
log_fd003,FedAvg 2026,fedavg,FD003,2026,28900.78,492.5,9.8614
log_fd003,AC-PFL 42,acpfl,FD003,42,27650,7214.24,13.2829
log_fd003,AC-PFL 101,acpfl,FD003,101,27650,440.49,13.8726
log_fd003,AC-PFL 202,acpfl,FD003,202,27650,503.15,14.8871
log_fd003,AC-PFL 303,acpfl,FD003,303,27650,656.52,12.1083
log_fd003,AC-PFL 2026,acpfl,FD003,2026,27650,12689.57,14.0972
log_fd003,FedPer 42,fedper,FD003,42,27650,988.39,16.6874
log_fd003,FedPer 202,fedper,FD003,202,27650,1495.44,13.9603
log_fd003,FedPer 101,fedper,FD003,101,27650,715.8,13.0888
log_fd003,FedPer 303,fedper,FD003,303,27650,764.05,12.9368
log_fd003,FedPer 2026,fedper,FD003,2026,27650,571.97,13.4409
log_fd003,CFL,cfl,FD003,42,27650,18036.99,15.0657
log_fd003,CFL,cfl,FD003,101,27650,15086.84,14.1244
log_fd003,CFL,cfl,FD003,202,27650,13150.18,14.0532
log_fd003,CFL,cfl,FD003,303,27650,10852.94,14.7087
log_fd003,CFL,cfl,FD003,2026,27650,8938.08,13.276
log_fd003,FedProx,fedprox,FD003,101,28900.78,505.55,12.398
log_fd003,FedProx,fedprox,FD003,42,28900.78,583.63,11.4475
log_fd003,FedProx,fedprox,FD003,202,28900.78,2142.73,15.6629
log_fd003,FedProx,fedprox,FD003,303,28900.78,1371.44,11.3628
log_fd003,FedProx,fedprox,FD003,2026,28900.78,582.89,12.1979
log_fd003,Ditto,ditto,FD003,42,28900.78,14287.33,15.1741
log_fd003,Ditto,ditto,FD003,101,28900.78,10487.81,14.4631
log_fd003,Ditto,ditto,FD003,202,28900.78,4377.65,13.3647
log_fd003,Ditto,ditto,FD003,303,28900.78,12753.74,14.7543
log_fd003,Ditto,ditto,FD003,2026,28900.78,3348.61,13.6579
log_fd004,FedAvg 42,fedavg,FD004,42,28900.78,31440.99,21.5561
log_fd004,FedAvg 101,fedavg,FD004,101,28900.78,12846.12,22.3846
log_fd004,FedAvg 202,fedavg,FD004,202,28900.78,94065.31,22.7315
log_fd004,FedAvg 303,fedavg,FD004,303,28900.78,63331.48,22.5127
log_fd004,FedAvg 404,fedavg,FD004,404,28900.78,98893.59,24.5433
log_fd004,FedAvg 505,fedavg,FD004,505,28900.78,34743.94,22.8541
log_fd004,FedAvg 606,fedavg,FD004,606,28900.78,47492.38,23.3472
log_fd004,FedAvg 707,fedavg,FD004,707,28900.78,35031.39,23.0893
log_fd004,FedAvg 808,fedavg,FD004,808,28900.78,14762.11,22.7024
log_fd004,FedAvg 2026,fedavg,FD004,2026,28900.78,48062.699,22.446
log_fd004,FedPer 42,fedper,FD004,42,27650,59686.66,21.8379
log_fd004,FedPer 101,fedper,FD004,101,27650,63286.74,21.5991
log_fd004,FedPer 202,fedper,FD004,202,27650,15891.62,21.2135
log_fd004,FedPer 303,fedper,FD004,303,27650,16838,23.4532
log_fd004,FedPer 2026,fedper,FD004,2026,27650,41220.06,22.5931
log_fd004,AC-PFL,acpfl,FD004,42,27650,7367.83,20.0837
log_fd004,AC-PFL,acpfl,FD004,101,27650,16886.97,21.6026
log_fd004,AC-PFL 303,acpfl,FD004,303,27650,29550.85,22.1669
log_fd004,AC-PFL 202,acpfl,FD004,202,27650,33922.25,22.3246
log_fd004,AC-PFL,acpfl,FD004,2026,27650,43607.72,21.7923
log_fd004,AC-PFL 404,acpfl,FD004,404,27650,11401.49,21.7972
log_fd004,AC-PFL 505,acpfl,FD004,505,27650,42648.99,22.994
log_fd004,AC-PFL 606,acpfl,FD004,606,27650,31891.23,22.1248
log_fd004,AC-PFL 707,acpfl,FD004,707,27650,26774.31,22.5299
log_fd004,AC-PFL 808,acpfl,FD004,808,27650,42109.17,24.2517
log_fd004,CFL,cfl,FD004,42,27650,57778.17,24.163
log_fd004,CFL,cfl,FD004,101,27650,175929.49,24.9496
log_fd004,CFL,cfl,FD004,202,27650,45596.36,24.5501
log_fd004,CFL,cfl,FD004,303,27650,87211.39,24.9089
log_fd004,CFL,cfl,FD004,2026,27650,133383.88,26.3722
log_fd004,Ditto,ditto,FD004,42,28900.78,45122.9,23.2696
log_fd004,Ditto,ditto,FD004,101,28900.78,38520.75,23.8484
log_fd004,Ditto,ditto,FD004,202,28900.78,27405.26,22.9055
log_fd004,Ditto,ditto,FD004,303,28900.78,25200.19,23.1979
log_fd004,Ditto,ditto,FD004,2026,28900.78,21909.05,22.4209
log_fd004,FedProx,fedprox,FD004,101,28900.78,47992.81,22.9395
log_fd004,FedProx,fedprox,FD004,202,28900.78,23256.66,21.666
log_fd004,FedProx,fedprox,FD004,303,28900.78,126335.63,22.9105
log_fd004,FedProx,fedprox,FD004,404,28900.78,11425.87,22.7975
log_fd004,FedProx,fedprox,FD004,505,28900.78,82048.12,21.8967
log_fd004,FedProx,fedprox,FD004,606,28900.78,29881.53,21.9217
log_fd004,FedProx,fedprox,FD004,707,28900.78,92152.63,22.226
log_fd004,FedProx,fedprox,FD004,808,28900.78,95467.79,24.5607
log_fd004,FedProx,fedprox,FD004,2026,28900.78,84984.48,22.1773
log_fd004,FedProx,fedprox,FD004,42,28900.78,86212.35,22.5744
