dataset,method,n_seeds,mae_mean,mae_std,nasa_mean,nasa_std
FD001,acpfl,5,12.88,0.83,507.23,187.23
FD001,cfl,5,14.741,1.374,1179.69,505.68
FD001,ditto,5,14.444,1.016,588.03,233.34
FD001,fedavg,5,11.87,0.656,375.76,43.36
FD001,fedper,5,12.744,0.998,434.28,103.56
FD001,fedprox,5,11.489,0.64,371.73,67.77
FD002,acpfl,10,19.756,0.926,8374.03,3381.53
FD002,cfl,5,22.846,1.132,37638.2,20239
FD002,ditto,5,21.181,0.679,13411.28,4265.79
FD002,fedavg,10,19.184,1.285,11941.78,3534.35
FD002,fedper,5,18.857,0.629,11149.78,4915.44
FD002,fedprox,10,19.409,1.044,22299.68,23682.85
FD003,acpfl,5,13.65,0.926,4300.79,4928.78
FD003,cfl,5,14.246,0.613,13213.01,3182.17
FD003,ditto,5,14.283,0.676,9051.03,4417.04
FD003,fedavg,5,12.105,1.161,640,197.91
FD003,fedper,5,14.023,1.378,907.13,323.15
FD003,fedprox,5,12.614,1.577,1037.25,636.98
FD004,acpfl,10,22.167,1.006,28616.08,12378.55
FD004,cfl,5,24.989,0.748,99979.86,48550.5
FD004,ditto,5,23.128,0.468,31631.63,8754.75
FD004,fedavg,10,22.858,0.761,48067.48,29638.76
FD004,fedper,5,21.811,0.504,45021.27,18786.21
FD004,fedprox,10,22.566,0.832,65949.5,36885.35
